SPEED RANGE,Y POSITION,serve_direction_detailed,prob
<140,-0.3,ET,1.0
<140,0.0,ET,0.3333333333333333
<140,0.0,JT,0.6666666666666666
<140,0.3,ET,0.1
<140,0.3,JT,0.9
<140,0.6,JB,0.13333333333333333
<140,0.6,JT,0.8666666666666667
<140,0.9,JB,0.7727272727272727
<140,0.9,JT,0.22727272727272727
<140,1.2,JB,1.0
<140,1.5,JB,1.0
<140,1.8,EW,0.13157894736842105
<140,1.8,JB,0.39473684210526316
<140,1.8,JW,0.47368421052631576
<140,2.1,EW,0.9615384615384616
<140,2.1,JW,0.038461538461538464
<140,2.4,EW,1.0
<140,2.7,EW,1.0
140-160,-0.6,ET,1.0
140-160,-0.3,ET,0.8333333333333334
140-160,-0.3,JT,0.16666666666666666
140-160,0.0,ET,0.35294117647058826
140-160,0.0,JT,0.6470588235294118
140-160,0.3,JT,1.0
140-160,0.6,JB,0.24
140-160,0.6,JT,0.76
140-160,0.9,JB,0.8888888888888888
140-160,0.9,JT,0.1111111111111111
140-160,1.2,JB,1.0
140-160,1.5,JB,0.8571428571428571
140-160,1.5,JW,0.14285714285714285
140-160,1.8,EW,0.23404255319148937
140-160,1.8,JB,0.1276595744680851
140-160,1.8,JW,0.6382978723404256
140-160,2.1,EW,0.9310344827586207
140-160,2.1,JW,0.06896551724137931
140-160,2.4,EW,1.0
160-180,-0.6,ET,1.0
160-180,-0.3,ET,0.9090909090909091
160-180,-0.3,JT,0.09090909090909091
160-180,0.0,ET,0.2680851063829787
160-180,0.0,JT,0.7319148936170212
160-180,0.3,JB,0.006289308176100629
160-180,0.3,JT,0.9937106918238994
160-180,0.6,JB,0.3333333333333333
160-180,0.6,JT,0.6666666666666666
160-180,0.9,JB,0.9696969696969697
160-180,0.9,JT,0.030303030303030304
160-180,1.2,JB,0.9827586206896551
160-180,1.2,JW,0.017241379310344827
160-180,1.5,JB,0.3780487804878049
160-180,1.5,JW,0.6219512195121951
160-180,1.8,EW,0.17391304347826086
160-180,1.8,JW,0.8260869565217391
160-180,2.1,EW,0.8666666666666667
160-180,2.1,JW,0.13333333333333333
160-180,2.4,EW,1.0
160-180,2.7,EW,1.0
>180,-0.6,ET,0.6666666666666666
>180,-0.6,JT,0.3333333333333333
>180,-0.3,ET,0.8823529411764706
>180,-0.3,JT,0.11764705882352941
>180,0.0,ET,0.09821428571428571
>180,0.0,JT,0.9017857142857143
>180,0.3,JT,1.0
>180,0.6,JB,0.6296296296296297
>180,0.6,JT,0.37037037037037035
>180,0.9,JB,1.0
>180,1.2,JB,0.9333333333333333
>180,1.2,JW,0.06666666666666667
>180,1.5,JB,0.2978723404255319
>180,1.5,JW,0.7021276595744681
>180,1.8,EW,0.15492957746478872
>180,1.8,JW,0.8450704225352113
>180,2.1,EW,0.9122807017543859
>180,2.1,JW,0.08771929824561403
>180,2.4,EW,1.0
