SPEED RANGE,Y POSITION,serve_direction_detailed,prob
<140,0.0,ET,0.6666666666666666
<140,0.0,JT,0.3333333333333333
<140,0.3,JT,1.0
<140,0.6,JT,1.0
<140,0.9,JB,0.7777777777777778
<140,0.9,JT,0.2222222222222222
<140,1.2,JB,1.0
<140,1.5,JB,1.0
<140,1.8,EW,0.35294117647058826
<140,1.8,JB,0.6470588235294118
<140,2.1,EW,1.0
<140,2.4,EW,1.0
140-160,-1.8,EW,1.0
140-160,-0.3,ET,1.0
140-160,0.0,ET,0.4
140-160,0.0,JT,0.6
140-160,0.3,JT,1.0
140-160,0.6,JB,0.16666666666666666
140-160,0.6,JT,0.8333333333333334
140-160,0.9,JB,0.9230769230769231
140-160,0.9,JT,0.07692307692307693
140-160,1.2,JB,0.9487179487179487
140-160,1.2,JW,0.05128205128205128
140-160,1.5,JB,0.9487179487179487
140-160,1.5,JW,0.05128205128205128
140-160,1.8,EW,0.0975609756097561
140-160,1.8,JB,0.4878048780487805
140-160,1.8,JW,0.4146341463414634
140-160,2.1,EW,0.9117647058823529
140-160,2.1,JW,0.08823529411764706
140-160,2.4,EW,1.0
140-160,2.7,EW,1.0
160-180,-0.6,ET,1.0
160-180,-0.3,ET,1.0
160-180,0.0,ET,0.40350877192982454
160-180,0.0,JT,0.5964912280701754
160-180,0.3,JT,1.0
160-180,0.6,JB,0.07692307692307693
160-180,0.6,JT,0.9230769230769231
160-180,0.9,JB,1.0
160-180,1.2,JB,1.0
160-180,1.5,JB,0.8235294117647058
160-180,1.5,JW,0.17647058823529413
160-180,1.8,ET,0.05263157894736842
160-180,1.8,EW,0.3684210526315789
160-180,1.8,JB,0.3157894736842105
160-180,1.8,JW,0.2631578947368421
160-180,2.1,EW,0.7142857142857143
160-180,2.1,JB,0.07142857142857142
160-180,2.1,JW,0.21428571428571427
160-180,2.4,EW,1.0
160-180,2.7,EW,1.0
180-200,-0.6,ET,1.0
180-200,-0.3,ET,0.9534883720930233
180-200,-0.3,JT,0.046511627906976744
180-200,0.0,ET,0.46511627906976744
180-200,0.0,JT,0.5348837209302325
180-200,0.3,ET,0.011904761904761904
180-200,0.3,JT,0.9880952380952381
180-200,0.6,JB,0.3142857142857143
180-200,0.6,JT,0.6857142857142857
180-200,0.9,JB,1.0
180-200,1.2,JB,1.0
180-200,1.5,JB,0.45161290322580644
180-200,1.5,JW,0.5483870967741935
180-200,1.8,EW,0.0945945945945946
180-200,1.8,JB,0.013513513513513514
180-200,1.8,JW,0.8918918918918919
180-200,2.1,EW,0.8157894736842105
180-200,2.1,JW,0.18421052631578946
180-200,2.4,EW,1.0
>200,-1.8,JW,1.0
>200,-0.6,ET,1.0
>200,-0.3,ET,0.8982035928143712
>200,-0.3,JT,0.10179640718562874
>200,0.0,ET,0.31313131313131315
>200,0.0,JT,0.6868686868686869
>200,0.3,JB,0.007518796992481203
>200,0.3,JT,0.9924812030075187
>200,0.6,JB,0.375
>200,0.6,JT,0.625
>200,0.9,JB,0.9565217391304348
>200,0.9,JT,0.043478260869565216
>200,1.2,JB,0.9583333333333334
>200,1.2,JW,0.041666666666666664
>200,1.5,JB,0.30612244897959184
>200,1.5,JW,0.6938775510204082
>200,1.8,EW,0.11929824561403508
>200,1.8,JB,0.007017543859649123
>200,1.8,JW,0.8736842105263158
>200,2.1,EW,0.7942122186495176
>200,2.1,JW,0.2057877813504823
>200,2.4,EW,1.0
>200,2.7,EW,1.0
