SPEED RANGE,Y POSITION,serve_direction_detailed,prob
<140,-2.7,EW,1.0
<140,-2.4,EW,1.0
<140,-2.1,EW,0.7647058823529411
<140,-2.1,JW,0.23529411764705882
<140,-1.8,EW,0.3548387096774194
<140,-1.8,JB,0.2903225806451613
<140,-1.8,JW,0.3548387096774194
<140,-1.5,JB,0.9
<140,-1.5,JW,0.1
<140,-1.2,JB,1.0
<140,-0.9,JB,0.6486486486486487
<140,-0.9,JT,0.35135135135135137
<140,-0.6,JB,0.06349206349206349
<140,-0.6,JT,0.9365079365079365
<140,-0.3,ET,0.07317073170731707
<140,-0.3,JT,0.926829268292683
<140,0.0,ET,0.5882352941176471
<140,0.0,JT,0.4117647058823529
<140,0.3,ET,1.0
140-160,-2.7,EW,1.0
140-160,-2.4,EW,1.0
140-160,-2.1,EW,0.777027027027027
140-160,-2.1,JW,0.22297297297297297
140-160,-1.8,EW,0.125
140-160,-1.8,JB,0.20535714285714285
140-160,-1.8,JW,0.6696428571428571
140-160,-1.5,JB,0.8125
140-160,-1.5,JW,0.1875
140-160,-1.2,JB,1.0
140-160,-0.9,JB,0.864406779661017
140-160,-0.9,JT,0.13559322033898305
140-160,-0.6,JB,0.23529411764705882
140-160,-0.6,JT,0.7647058823529411
140-160,-0.3,ET,0.03773584905660377
140-160,-0.3,JT,0.9622641509433962
140-160,0.0,ET,0.39473684210526316
140-160,0.0,JT,0.6052631578947368
140-160,0.3,ET,0.8571428571428571
140-160,0.3,JT,0.14285714285714285
140-160,0.6,ET,1.0
160-180,-2.7,EW,1.0
160-180,-2.4,EW,1.0
160-180,-2.1,EW,0.635036496350365
160-180,-2.1,JW,0.36496350364963503
160-180,-1.8,EW,0.009433962264150943
160-180,-1.8,JB,0.05660377358490566
160-180,-1.8,JW,0.9339622641509434
160-180,-1.5,JB,0.8666666666666667
160-180,-1.5,JW,0.13333333333333333
160-180,-1.2,JB,1.0
160-180,-0.9,JB,0.9090909090909091
160-180,-0.9,JT,0.09090909090909091
160-180,-0.6,JB,0.09243697478991597
160-180,-0.6,JT,0.907563025210084
160-180,-0.3,ET,0.05813953488372093
160-180,-0.3,JT,0.9418604651162791
160-180,0.0,ET,0.7517241379310344
160-180,0.0,JT,0.2482758620689655
160-180,0.3,ET,1.0
160-180,0.6,JT,1.0
>180,-2.4,EW,1.0
>180,-2.1,EW,0.3333333333333333
>180,-2.1,JW,0.6666666666666666
>180,-1.8,JB,0.21428571428571427
>180,-1.8,JW,0.7857142857142857
>180,-1.5,JB,1.0
>180,-1.2,JB,1.0
>180,-0.9,JB,0.8108108108108109
>180,-0.9,JT,0.1891891891891892
>180,-0.6,JB,0.08602150537634409
>180,-0.6,JT,0.9139784946236559
>180,-0.3,ET,0.034653465346534656
>180,-0.3,JT,0.9653465346534653
>180,0.0,ET,0.7944444444444444
>180,0.0,JT,0.20555555555555555
>180,0.3,ET,1.0
