SPEED RANGE,Y POSITION,serve_direction_detailed,prob
<140,-2.1,EW,1.0
<140,-1.5,JB,1.0
<140,-1.2,JB,1.0
<140,-0.9,JB,0.5454545454545454
<140,-0.9,JT,0.45454545454545453
<140,-0.6,JT,1.0
<140,-0.3,JT,1.0
<140,0.0,ET,0.75
<140,0.0,JT,0.25
140-160,-2.7,EW,0.5
140-160,-2.7,JW,0.5
140-160,-2.4,EW,1.0
140-160,-2.1,EW,0.95
140-160,-2.1,JW,0.05
140-160,-1.8,EW,0.043478260869565216
140-160,-1.8,JB,0.4782608695652174
140-160,-1.8,JW,0.4782608695652174
140-160,-1.5,JB,0.9166666666666666
140-160,-1.5,JW,0.08333333333333333
140-160,-1.2,JB,0.9722222222222222
140-160,-1.2,JT,0.027777777777777776
140-160,-0.9,JB,0.5873015873015873
140-160,-0.9,JT,0.4126984126984127
140-160,-0.6,JB,0.011764705882352941
140-160,-0.6,JT,0.9882352941176471
140-160,-0.3,ET,0.04054054054054054
140-160,-0.3,JT,0.9594594594594594
140-160,0.0,ET,0.64
140-160,0.0,JB,0.12
140-160,0.0,JT,0.24
140-160,0.3,ET,0.4
140-160,0.3,EW,0.4
140-160,0.3,JT,0.2
160-180,-2.7,EW,1.0
160-180,-2.4,EW,1.0
160-180,-2.1,EW,0.7818181818181819
160-180,-2.1,JW,0.21818181818181817
160-180,-1.8,EW,0.0594059405940594
160-180,-1.8,JB,0.18811881188118812
160-180,-1.8,JW,0.7524752475247525
160-180,-1.5,JB,0.9090909090909091
160-180,-1.5,JW,0.09090909090909091
160-180,-1.2,JB,0.9714285714285714
160-180,-1.2,JW,0.02857142857142857
160-180,-0.9,JB,0.5945945945945946
160-180,-0.9,JT,0.40540540540540543
160-180,-0.6,JB,0.18181818181818182
160-180,-0.6,JT,0.8181818181818182
160-180,-0.3,ET,0.05405405405405406
160-180,-0.3,JT,0.9459459459459459
160-180,0.0,ET,0.7692307692307693
160-180,0.0,JT,0.23076923076923078
160-180,0.3,ET,1.0
160-180,1.8,JW,1.0
180-200,-2.7,EW,1.0
180-200,-2.4,EW,0.9841897233201581
180-200,-2.4,JB,0.003952569169960474
180-200,-2.4,JW,0.011857707509881422
180-200,-2.1,EW,0.5625
180-200,-2.1,JW,0.4375
180-200,-1.8,EW,0.007874015748031496
180-200,-1.8,JB,0.2047244094488189
180-200,-1.8,JT,0.007874015748031496
180-200,-1.8,JW,0.7795275590551181
180-200,-1.5,JB,1.0
180-200,-1.2,JB,1.0
180-200,-0.9,JB,0.75
180-200,-0.9,JT,0.25
180-200,-0.6,JB,0.046153846153846156
180-200,-0.6,JT,0.9538461538461539
180-200,-0.3,ET,0.16964285714285715
180-200,-0.3,JT,0.8303571428571429
180-200,0.0,ET,0.8762886597938144
180-200,0.0,JT,0.12371134020618557
180-200,0.3,ET,1.0
>200,-2.4,EW,1.0
>200,-2.1,EW,0.4444444444444444
>200,-2.1,JW,0.5555555555555556
>200,-1.8,JB,0.36363636363636365
>200,-1.8,JW,0.6363636363636364
>200,-1.5,JB,0.875
>200,-1.5,JT,0.125
>200,-1.2,JB,1.0
>200,-0.9,JB,0.6486486486486487
>200,-0.9,JT,0.35135135135135137
>200,-0.6,JT,1.0
>200,-0.3,ET,0.11797752808988764
>200,-0.3,JT,0.8820224719101124
>200,0.0,ET,0.8741379310344828
>200,0.0,EW,0.0017241379310344827
>200,0.0,JT,0.12413793103448276
>200,0.3,ET,1.0
