match_id,point_duration_time_x,SET_GAME_POINT,rally_length,PLAYER_WIN_NAME,server_name
RG_2024_R16_Swiatek_Potapova,18.604,1_2_5,10,SWIATEK,POTAPOVA
Wimbledon_2023_R16_Swiatek_Bencic,23.83,1_13_2,16,BENCIC,BENCIC
RG_2024_SF_Swiatek_Gauff,25.582,1_6_2,20,SWIATEK,SWIATEK
Indian-Wells_2023_R16_Swiatek_Raducanu,26.268199059281923,1_1_3,19,SWIATEK,SWIATEK
United_Cup_2024_1st_Swiatek_Sorribes-Tormo,28.082,1_8_1,21,SWIATEK,SORRIBES TORMO
Indian_Wells_2024_F_Swiatek_Sakkari,25.062,1_5_3,15,SAKKARI,SWIATEK
Doha_2024_R32_Swiatek_Cirstea,17.673,1_7_5,14,SWIATEK,SWIATEK
Madrid_2024_R64_Swiatek_Wang,23.236,1_4_4,16,WANG,SWIATEK
United_Cup_2024_QF_Swiatek_Kerber,15.879,1_3_5,11,SWIATEK,SWIATEK
Indian_Wells_2024_R16_Swiatek_Putintseva,26.18,2_1_3,18,PUTINTSEVA,PUTINTSEVA
Montreal_2023_QF_Swiatek_Collins,17.93,3_5_1,12,COLLINS,COLLINS
Cincinnati_2024_R16_Swiatek_Kostyuk,17.311,2_7_5,10,KOSTYUK,SWIATEK
Miami_2024_R64_Swiatek_Giorgi,16.347,1_6_1,11,GIORGI,SWIATEK
United_Cup_2023_RR_Swiatek_Bencic,23.39651205570221,2_13_9,15,SWIATEK,BENCIC
AO_2024_R32_Swiatek_Noskova,17.693,2_7_1,11,SWIATEK,NOSKOVA
Wimbledon_2023_R64_Swiatek_Sorribes-Tormo,30.304,1_2_11,22,SWIATEK,SORRIBES TORMO
Indian_Wells_2023_SF_Swiatek_Rybakina,19.7477489649353,2_1_9,12,RYBAKINA,RYBAKINA
Dubai_2024_QF_Swiatek_Zheng,19.925,1_6_5,14,SWIATEK,ZHENG
Indian_Wells_2024_R32_Swiatek_Noskova,19.853,2_3_6,15,NOSKOVA,SWIATEK
US_Open_2023_R32_Swiatek_Juvan,18.451,1_1_4,13,SWIATEK,SWIATEK
US_Open_2023_R16_Swiatek_Ostapenko,18.755,1_9_5,11,SWIATEK,SWIATEK
AO_2023_2nd_Swiatek_Osorio,26.39630702243042,2_2_4,19,OSORIO,OSORIO
United_Cup_2024_R16_Swiatek_Garcia,22.798,3_3_4,15,SWIATEK,GARCIA
US_Open_2024_1st_Swiatek_Rakhimova,27.162,2_12_6,16,SWIATEK,SWIATEK
AO_2023_4th_Swiatek_Rybakina,17.12077308264923,2_2_4,11,SWIATEK,RYBAKINA
Montreal_2023_R16_Swiatek_Muchova,33.95,2_2_6,24,MUCHOVA,SWIATEK
Dubai_2024_R32_Swiatek_Stephens,27.812,2_6_14,20,STEPHENS,STEPHENS
Wimbledon_2023_QF_Swiatek_Svitolina,21.562,1_1_7,12,SWIATEK,SVITOLINA
United_Cup_2024_R32_Swiatek_Zheng,31.937,2_3_8,24,SWIATEK,SWIATEK
US_Open_2024_R32_Swiatek_Pavlyuchenkova,20.143,2_1_2,14,SWIATEK,PAVLYUCHENKOVA
Doha_2023_F_Swiatek_Pegula,36.57453311078034,1_6_7,26,PEGULA,PEGULA
AO_2023_1st_Swiatek_Niemeier,29.95604196382141,2_1_4,21,NIEMEIER,SWIATEK
Madrid_2024_R32_Swiatek_Cirstea,29.731,1_4_3,20,SWIATEK,SWIATEK
US_Open_2024_R64_Swiatek_Shibahara,24.23,2_2_20,16,SWIATEK,SHIBAHARA
United_Cup_2023_QF_Swiatek_Trevisan,25.331421998895262,2_10_10,18,SWIATEK,SWIATEK
United_Cup_2024_1st_Swiatek_Haddad-Maia,24.856706,1_5_2,17,HADDAD MAIA,HADDAD MAIA
Dubai_2024_SF_Swiatek_Kalinskaya,22.782,1_6_7,17,SWIATEK,KALINSKAYA
Madrid_2024_SF_Swiatek_Keys,27.56,1_4_3,18,KEYS,KEYS
RG_2024_QF_Swiatek_Vondrousova,26.938,1_4_15,18,SWIATEK,VONDROUSOVA
Doha_2024_F_Swiatek_Rybakina,38.323,2_7_4,28,RYBAKINA,RYBAKINA
AO_2024_1st_Swiatek_Kenin,23.495,1_8_11,16,SWIATEK,KENIN
Cincinnati_2023_SF_Swiatek_Gauff,23.491,3_6_5,17,GAUFF,GAUFF
United_Cup_2023_RR_Swiatek_Putintseva,19.85473500317383,2_6_2,15,PUTINTSEVA,SWIATEK
Wimbledon_2023_1st_Swiatek_Zhu,20.433,1_7_2,12,ZHU,SWIATEK
United_Cup_2023_SF_Swiatek_Pegula,22.732530949317933,1_5_3,18,SWIATEK,SWIATEK
AO_2024_R64_Swiatek_Collins,23.798,1_6_1,15,SWIATEK,SWIATEK
Indian_Wells_2024_QF_Swiatek_Wozniacki,31.143,1_1_2,21,SWIATEK,WOZNIACKI
