Serve,Court Side,Position,Returns,Return In %,Return Win %,Win if In %
1st,Deuce,Up,0,NO DATA,NO DATA,NO DATA
1st,Deuce,Middle,0,NO DATA,NO DATA,NO DATA
1st,Deuce,Back,22,77%,27%,35%
1st,Ad,Up,0,NO DATA,NO DATA,NO DATA
1st,Ad,Middle,0,NO DATA,NO DATA,NO DATA
1st,Ad,Back,23,78%,30%,38%
2nd,Deuce,Up,0,NO DATA,NO DATA,NO DATA
2nd,Deuce,Middle,0,NO DATA,NO DATA,NO DATA
2nd,Deuce,Back,17,88%,41%,46%
2nd,Ad,Up,0,NO DATA,NO DATA,NO DATA
2nd,Ad,Middle,0,NO DATA,NO DATA,NO DATA
2nd,Ad,Back,14,85%,35%,41%
