Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,7.82,1.79,3.05,-4.01,202.49,108.95,111.07,94.1
7-12 game split,5.56,1.54,2.0,-2.3,204.53,126.32,116.98,85.45
13-18 game split,11.02,1.87,3.04,-4.27,198.79,122.6,116.44,103.24
19-24 game split,10.76,1.88,3.0,-4.23,199.98,118.14,104.37,95.48
25-30 game split,10.44,1.67,3.22,-4.33,198.3,117.54,107.98,103.6
31-36 game split,12.05,1.97,3.01,-4.25,200.51,110.16,115.45,100.99
37-42 game split,10.76,1.76,2.95,-4.09,203.97,108.08,122.59,113.06
43-48 game split,11.45,1.85,2.96,-3.96,206.32,111.49,109.78,113.02
49-54 game split,15.73,1.78,2.92,-3.89,202.3,119.97,114.12,106.38
55-58 game split,12.88,1.77,2.97,-4.02,205.7,124.4,111.35,107.28
