Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,9.32,2.2,4.02,-6.17,189.86,112.54,123.46,123.46
7-12 game split,11.93,2.25,4.34,-5.39,195.4,131.48,119.37,106.97
13-18 game split,12.17,2.11,4.36,-5.59,199.48,130.75,104.91,99.66
19-24 game split,12.16,2.12,4.64,-5.88,199.52,116.92,104.69,99.4
25-30 game split,11.17,2.3,4.34,-5.64,195.77,126.01,122.12,100.24
31-36 game split,12.64,2.35,4.91,-5.58,190.08,118.93,104.14,94.82
37-42 game split,9.95,2.2,4.59,-5.67,190.09,131.43,116.64,102.54
43-48 game split,13.19,2.26,4.91,-5.98,193.19,121.13,116.62,103.11
49-54 game split,15.26,1.96,4.32,-5.94,196.63,114.61,117.88,111.6
55-60 game split,12.19,1.96,4.63,-5.76,197.48,115.6,119.98,112.61
61-61 game split,10.54,2.05,4.45,-4.9,195.55,132.22,127.73,127.73
