Serve,Court Side,Position,Returns,Return In %,Return Win %,Win if In %
1st,Deuce,Up,0,NO DATA,NO DATA,NO DATA
1st,Deuce,Middle,0,NO DATA,NO DATA,NO DATA
1st,Deuce,Back,20,85%,50%,58%
1st,Ad,Up,0,NO DATA,NO DATA,NO DATA
1st,Ad,Middle,0,NO DATA,NO DATA,NO DATA
1st,Ad,Back,18,72%,11%,15%
2nd,Deuce,Up,0,NO DATA,NO DATA,NO DATA
2nd,Deuce,Middle,0,NO DATA,NO DATA,NO DATA
2nd,Deuce,Back,16,81%,18%,23%
2nd,Ad,Up,0,NO DATA,NO DATA,NO DATA
2nd,Ad,Middle,0,NO DATA,NO DATA,NO DATA
2nd,Ad,Back,10,90%,40%,44%
