match_id,set_number,player,Speed in first meter,Acceleration in first meter,Deceleration in last meter,Time to achieve Max Speed,Time needed to move 1 m,Time needed to move 0.5 m
AO_2024_1st_Swiatek_Kenin,1,SWIATEK,0.44,4.8,-3.3,1.02,0.8,0.5
AO_2024_1st_Swiatek_Kenin,2,SWIATEK,0.26,2.0,-1.3,0.62,0.6,0.4
AO_2024_R32_Swiatek_Noskova,1,SWIATEK,0.32,7.1,-5.6,1.02,0.6,0.4
AO_2024_R32_Swiatek_Noskova,2,SWIATEK,0.41,4.0,-5.1,0.72,0.6,0.3
AO_2024_R32_Swiatek_Noskova,3,SWIATEK,0.38,5.5,-4.3,0.9,0.5,0.3
AO_2024_R64_Swiatek_Collins,1,SWIATEK,0.4,5.2,-5.9,0.95,0.7,0.4
AO_2024_R64_Swiatek_Collins,2,SWIATEK,0.24,12.3,-10.4,0.83,0.5,0.4
AO_2024_R64_Swiatek_Collins,3,SWIATEK,0.42,3.3,-3.3,0.83,0.8,0.3
AO_2025_1st_Siniakova_Swiatek,1,SWIATEK,0.38,3.6,-3.8,0.78,0.7,0.4
AO_2025_1st_Siniakova_Swiatek,2,SWIATEK,0.41,4.1,-3.6,0.6,0.7,0.4
AO_2025_QF_Navarro_Swiatek,1,SWIATEK,0.34,5.2,-3.8,0.99,0.7,0.4
AO_2025_QF_Navarro_Swiatek,2,SWIATEK,0.42,3.9,-3.5,0.69,0.7,0.4
AO_2025_R16_Lys_Swiatek,1,SWIATEK,0.4,4.1,-2.1,1.1,0.6,0.4
AO_2025_R16_Lys_Swiatek,2,SWIATEK,0.4,6.2,-5.0,1.13,0.7,0.4
AO_2025_R32_Raducanu_Swiatek,1,SWIATEK,0.45,3.5,-4.0,0.43,0.7,0.4
AO_2025_R32_Raducanu_Swiatek,2,SWIATEK,0.4,5.1,-4.3,0.85,0.6,0.3
AO_2025_R64_Sramkova_Swiatek,1,SWIATEK,0.38,4.3,-2.8,0.95,0.8,0.5
AO_2025_R64_Sramkova_Swiatek,2,SWIATEK,0.42,3.5,-4.3,0.74,0.6,0.3
AO_2025_SF_Keys_Swiatek,1,SWIATEK,0.3,4.4,-3.1,0.89,0.6,0.4
AO_2025_SF_Keys_Swiatek,2,SWIATEK,0.38,7.5,-6.2,1.06,0.7,0.4
AO_2025_SF_Keys_Swiatek,3,SWIATEK,0.41,3.7,-3.8,0.99,0.6,0.4
Cincinnati_2024_QF_Swiatek_Andreeva,1,SWIATEK,0.47,4.6,-4.8,0.92,0.5,0.3
Cincinnati_2024_QF_Swiatek_Andreeva,2,SWIATEK,0.54,6.5,-6.2,1.23,0.7,0.4
Cincinnati_2024_QF_Swiatek_Andreeva,3,SWIATEK,0.38,2.4,-5.4,0.84,0.5,0.2
