match_id,player,Speed in first meter,Acceleration in first meter,Deceleration in last meter,Time to achieve Max Speed,Time needed to move 1 m,Time needed to move 0.5 m
AO_2022_1st_Sinner_Sousa,SINNER,0.39,5.2,-5.3,0.96,0.5,0.3
AO_2022_2nd_Sinner_Johnson,SINNER,0.34,5.7,-4.2,0.94,0.6,0.4
AO_2022_3rd_Sinner_Daniel,SINNER,0.44,4.6,-5.1,0.85,0.5,0.3
AO_2022_4th_Sinner_Minaur,SINNER,0.37,7.7,-5.1,0.84,0.6,0.4
AO_2022_QF_Tsitsipas_Sinner,SINNER,0.44,5.8,-5.9,0.96,0.5,0.3
AO_2023_4th_Sinner_Tsitsipas,SINNER,0.47,6.5,-5.2,1.04,0.6,0.4
AO_2024_F_Sinner_Medvedev,SINNER,0.38,5.1,-5.2,0.77,0.6,0.4
AO_2024_QF_Sinner_Rublev,SINNER,0.32,5.1,-5.1,0.73,0.7,0.4
AO_2024_R16_Sinner_Khachanov,SINNER,0.31,5.9,-3.1,0.91,0.7,0.4
AO_2024_R32_Sinner_Baez,SINNER,0.34,4.7,-2.5,0.85,0.7,0.4
AO_2024_SF_Djokovic_Sinner,SINNER,0.31,4.9,-4.1,0.8,0.7,0.4
ATP_cup_2022_RR_Sinner_Purcell,SINNER,0.37,5.6,-4.0,0.91,0.5,0.3
ATP_cup_2022_RR_Sinner_Rinderknech,SINNER,0.3,5.5,-5.2,0.96,0.4,0.3
ATP_cup_2022_RR_Sinner_Safiullin,SINNER,0.35,6.5,-4.1,0.88,0.6,0.4
Adelaide1_2023_QF_Sinner_Korda,SINNER,0.33,6.3,-3.3,0.75,0.6,0.4
Adelaide1_2023_R16_Sinner_Kokkinakis,SINNER,0.34,6.1,-5.5,0.84,0.6,0.4
Adelaide1_2023_R32_Sinner_Edmund,SINNER,0.27,8.7,-4.8,0.71,0.6,0.4
Adelaide_2023_1st_Sinner_Edmund,SINNER,0.27,8.7,-4.8,0.71,0.6,0.4
