match_id,set_number,player,Speed in first meter,Acceleration in first meter,Deceleration in last meter,Time to achieve Max Speed,Time needed to move 1 m,Time needed to move 0.5 m
AO_2024_1st_Swiatek_Kenin,1,SWIATEK,0.28,5.5,-3.6,0.96,0.7,0.4
AO_2024_1st_Swiatek_Kenin,2,SWIATEK,,,,,,
AO_2024_R32_Swiatek_Noskova,1,SWIATEK,0.23,3.6,-3.1,0.64,0.5,0.2
AO_2024_R32_Swiatek_Noskova,2,SWIATEK,0.29,4.3,-4.2,0.72,0.6,0.3
AO_2024_R32_Swiatek_Noskova,3,SWIATEK,0.4,2.4,-3.1,0.82,0.6,0.3
AO_2024_R64_Swiatek_Collins,1,SWIATEK,0.33,6.0,-3.6,0.96,0.6,0.4
AO_2024_R64_Swiatek_Collins,2,SWIATEK,0.41,2.1,-5.7,0.63,0.6,0.3
AO_2024_R64_Swiatek_Collins,3,SWIATEK,0.52,3.9,-4.9,1.04,0.5,0.2
AO_2025_1st_Siniakova_Swiatek,1,SWIATEK,0.41,4.2,-4.0,0.93,0.8,0.5
AO_2025_1st_Siniakova_Swiatek,2,SWIATEK,0.39,5.9,-3.8,0.62,0.7,0.4
AO_2025_QF_Navarro_Swiatek,1,SWIATEK,0.36,5.2,-3.1,0.78,0.7,0.4
AO_2025_QF_Navarro_Swiatek,2,SWIATEK,0.43,4.2,-4.0,0.99,0.7,0.4
AO_2025_R16_Lys_Swiatek,1,SWIATEK,0.38,7.0,-4.8,1.11,0.7,0.4
AO_2025_R16_Lys_Swiatek,2,SWIATEK,0.37,4.3,-3.4,0.58,0.7,0.4
AO_2025_R32_Raducanu_Swiatek,1,SWIATEK,0.34,4.4,-1.5,1.04,0.8,0.5
AO_2025_R32_Raducanu_Swiatek,2,SWIATEK,0.44,3.9,-4.8,0.57,0.7,0.4
AO_2025_R64_Sramkova_Swiatek,1,SWIATEK,0.46,4.7,-3.7,1.0,0.7,0.4
AO_2025_R64_Sramkova_Swiatek,2,SWIATEK,0.38,5.2,-4.1,0.77,0.7,0.4
AO_2025_SF_Keys_Swiatek,1,SWIATEK,0.37,1.3,-5.0,1.7,0.4,0.2
AO_2025_SF_Keys_Swiatek,2,SWIATEK,,,,,,
AO_2025_SF_Keys_Swiatek,3,SWIATEK,0.4,5.4,-4.0,0.94,0.7,0.4
Cincinnati_2024_QF_Swiatek_Andreeva,1,SWIATEK,0.5,9.3,-3.8,1.24,0.7,0.3
