,movement_to_fh_avg_acc,match_id
575,0.84,AO_2021_3rd_Jabeur_Osaka
579,0.93,AO_2021_SF_Osaka_S.Williams
610,0.94,US_Open_2020_R2_OSAKA_GIORGI
574,0.97,AO_2021_2nd_Garcia_Osaka
578,1.11,AO_2021_QF_Hsieh_Osaka
573,1.16,AO_2021_1st_Pavlyuchenkova_Osaka
576,1.32,AO_2021_4th_Muguruza_Osaka
572,1.49,AO_2020_R3_Osaka_Gauff
587,1.52,Brisbane_2020_R1_Sakkari_Osaka
602,1.53,US_Open_2018_R1_OSAKA_SIEGEMUND
611,1.55,US_Open_2020_R3_OSAKA_KOSTYUK
595,1.63,Melbourne_2021_R3_BOULTER_OSAKA
585,1.68,Beijing_2019_SF_WOZNIACKI_OSAKA
590,1.7,Cincinnati_2020_QF_Osaka_Kontaveit
592,1.76,Cincinnati_2020_R3_OSAKA_YASTREMSKA
596,1.76,Osaka_2019_F_OSAKA_PAVLYUCHENKOVA
591,1.81,Cincinnati_2020_R2_OSAKA_MUCHOVA
588,1.82,Brisbane_2020_R2_Kenin_Osaka
570,1.85,AO_2020_R1_Osaka_Bouzkova
583,1.92,Beijing_2019_R2_PETKOVIC_OSAKA
571,1.93,AO_2020_R2_Osaka_Zheng
600,1.94,US_Open_2018_F_OSAKA_S.WILLIAMS
609,1.95,US_Open_2020_R1_OSAKA_DOI
604,1.97,US_Open_2018_R3_OSAKA_SASNOVICH
607,2.0,US_Open_2020_F_OSAKA_AZARENKA
589,2.02,Brisbane_2020_SF_Osaka_K.Pliskova
612,2.03,US_Open_2020_R4_OSAKA_KONTAVEIT
582,2.06,Beijing_2019_R1_OSAKA_PEGULA
613,2.07,US_Open_2020_SF_BRADY_OSAKA
598,2.08,Osaka_2019_R2_OSAKA_TOMOVA
601,2.08,US_Open_2018_QF_OSAKA_TSURENKO
586,2.09,Brisbane_2020_QF_Bertens_Osaka
599,2.11,Osaka_2019_SF_OSAKA_MERTENS
608,2.14,US_Open_2020_QF_OSAKA_ROGERS
584,2.15,Beijing_2019_R3_OSAKA_RISKE
605,2.15,US_Open_2018_R4_OSAKA_SABALENKA
597,2.16,Osaka_2019_QF_OSAKA_PUTINTSEVA
603,2.26,US_Open_2018_R2_OSAKA_GLUSHKO
606,2.27,US_Open_2018_SF_OSAKA_KEYS
580,2.29,Beijing_2019_F_OSAKA_BARTY
581,2.35,Beijing_2019_QF_OSAKA_ANDREESCU
593,2.35,Cincinnati_2020_SF_Osaka_Mertens
577,2.63,AO_2021_F_Brady_Osaka
132,2.72,AO_2024_1st_Garcia_Osaka
134,2.86,Brisbane_2024_R64_Osaka_Pliskova
142,2.95,Melbourne_2022_QF_Osaka_Petkovic
594,3.02,Melbourne_2021_R2_CORNET_OSAKA
133,3.3,Brisbane_2024_1st_Osaka_Korpatsch
146,3.42,Miami_2022_QF_Osaka_Collins
141,3.75,Melbourne_2022_2nd_Osaka_Zanevska
143,3.76,Miami_2022_2nd_Osaka_Kerber
130,3.8,AO_2022_2nd_Osaka_Brengle
135,4.19,Indian_Wells_2024_1st_Osaka_Errani
717,4.22,Cincinnati_2024_Q_Krueger_Osaka
158,4.23,Wimbledon_2024_R64_Osaka_Navarro
140,4.35,Melbourne_2022_1st_Osaka_Cornet
144,4.36,Miami_2022_4th_Riske_Osaka
145,4.37,Miami_2022_F_Osaka_Swiatek
131,4.39,AO_2022_3rd_Osaka_Anisimova
148,4.39,Miami_2024_1st_Cocciaretto_Osaka
147,4.52,Miami_2022_SF_Bencic_Osaka
137,4.54,Indian_Wells_2024_R64_Samsonova_Osaka
718,4.56,Cincinnati_2024_Q_Osaka_Blinkova
151,4.6,RG_2024_1st_Bronzetti_Osaka
150,4.62,Miami_2024_R64_Osaka_Svitolina
227,4.65,Rogers_cup_2024_R32_Osaka_Mertens
156,4.78,Rome_2024_R64_Osaka_Kostyuk
149,4.79,Miami_2024_R32_Garcia_Osaka
155,4.85,Rome_2024_R32_Kasatkina_Osaka
129,4.86,AO_2022_1st_Osaka_Osorio
139,4.98,Madrid_2024_R64_Osaka_Samsonova
230,5.05,Rogers_cup_2024_R64_Jabeur_Osaka
136,5.07,Indian_Wells_2024_R32_Osaka_Mertens
138,5.09,Madrid_2024_1st_Osaka_Minnen
152,5.13,RG_2024_R64_Swiatek_Osaka
157,5.54,Wimbledon_2024_1st_Osaka_Parry
154,5.56,Rome_2024_R16_Osaka_Zheng
153,5.57,Rome_2024_1st_Osaka_Burel
