,movement_to_fh_avg_decc,match_id
155,-5.49,Rome_2024_R32_Kasatkina_Osaka
152,-5.4,RG_2024_R64_Swiatek_Osaka
157,-5.15,Wimbledon_2024_1st_Osaka_Parry
153,-5.15,Rome_2024_1st_Osaka_Burel
151,-4.93,RG_2024_1st_Bronzetti_Osaka
718,-4.88,Cincinnati_2024_Q_Osaka_Blinkova
150,-4.81,Miami_2024_R64_Osaka_Svitolina
227,-4.56,Rogers_cup_2024_R32_Osaka_Mertens
138,-4.44,Madrid_2024_1st_Osaka_Minnen
158,-4.34,Wimbledon_2024_R64_Osaka_Navarro
149,-4.26,Miami_2024_R32_Garcia_Osaka
154,-4.26,Rome_2024_R16_Osaka_Zheng
717,-4.23,Cincinnati_2024_Q_Krueger_Osaka
148,-4.22,Miami_2024_1st_Cocciaretto_Osaka
140,-4.21,Melbourne_2022_1st_Osaka_Cornet
156,-4.17,Rome_2024_R64_Osaka_Kostyuk
131,-4.13,AO_2022_3rd_Osaka_Anisimova
136,-3.94,Indian_Wells_2024_R32_Osaka_Mertens
135,-3.94,Indian_Wells_2024_1st_Osaka_Errani
129,-3.93,AO_2022_1st_Osaka_Osorio
139,-3.89,Madrid_2024_R64_Osaka_Samsonova
145,-3.87,Miami_2022_F_Osaka_Swiatek
147,-3.85,Miami_2022_SF_Bencic_Osaka
144,-3.76,Miami_2022_4th_Riske_Osaka
230,-3.75,Rogers_cup_2024_R64_Jabeur_Osaka
143,-3.73,Miami_2022_2nd_Osaka_Kerber
137,-3.66,Indian_Wells_2024_R64_Samsonova_Osaka
141,-3.65,Melbourne_2022_2nd_Osaka_Zanevska
130,-3.63,AO_2022_2nd_Osaka_Brengle
146,-3.05,Miami_2022_QF_Osaka_Collins
142,-3.05,Melbourne_2022_QF_Osaka_Petkovic
133,-2.72,Brisbane_2024_1st_Osaka_Korpatsch
132,-2.47,AO_2024_1st_Garcia_Osaka
603,-2.36,US_Open_2018_R2_OSAKA_GLUSHKO
134,-2.05,Brisbane_2024_R64_Osaka_Pliskova
600,-2.01,US_Open_2018_F_OSAKA_S.WILLIAMS
599,-1.92,Osaka_2019_SF_OSAKA_MERTENS
577,-1.87,AO_2021_F_Brady_Osaka
580,-1.84,Beijing_2019_F_OSAKA_BARTY
596,-1.76,Osaka_2019_F_OSAKA_PAVLYUCHENKOVA
589,-1.69,Brisbane_2020_SF_Osaka_K.Pliskova
601,-1.67,US_Open_2018_QF_OSAKA_TSURENKO
602,-1.64,US_Open_2018_R1_OSAKA_SIEGEMUND
606,-1.63,US_Open_2018_SF_OSAKA_KEYS
572,-1.61,AO_2020_R3_Osaka_Gauff
588,-1.59,Brisbane_2020_R2_Kenin_Osaka
584,-1.58,Beijing_2019_R3_OSAKA_RISKE
586,-1.56,Brisbane_2020_QF_Bertens_Osaka
585,-1.55,Beijing_2019_SF_WOZNIACKI_OSAKA
571,-1.54,AO_2020_R2_Osaka_Zheng
608,-1.51,US_Open_2020_QF_OSAKA_ROGERS
587,-1.5,Brisbane_2020_R1_Sakkari_Osaka
597,-1.5,Osaka_2019_QF_OSAKA_PUTINTSEVA
607,-1.47,US_Open_2020_F_OSAKA_AZARENKA
598,-1.46,Osaka_2019_R2_OSAKA_TOMOVA
582,-1.46,Beijing_2019_R1_OSAKA_PEGULA
591,-1.46,Cincinnati_2020_R2_OSAKA_MUCHOVA
570,-1.41,AO_2020_R1_Osaka_Bouzkova
592,-1.35,Cincinnati_2020_R3_OSAKA_YASTREMSKA
611,-1.34,US_Open_2020_R3_OSAKA_KOSTYUK
604,-1.3,US_Open_2018_R3_OSAKA_SASNOVICH
593,-1.3,Cincinnati_2020_SF_Osaka_Mertens
581,-1.26,Beijing_2019_QF_OSAKA_ANDREESCU
590,-1.25,Cincinnati_2020_QF_Osaka_Kontaveit
609,-1.22,US_Open_2020_R1_OSAKA_DOI
594,-1.19,Melbourne_2021_R2_CORNET_OSAKA
583,-1.19,Beijing_2019_R2_PETKOVIC_OSAKA
613,-1.16,US_Open_2020_SF_BRADY_OSAKA
612,-1.14,US_Open_2020_R4_OSAKA_KONTAVEIT
605,-1.14,US_Open_2018_R4_OSAKA_SABALENKA
578,-1.12,AO_2021_QF_Hsieh_Osaka
610,-1.11,US_Open_2020_R2_OSAKA_GIORGI
579,-1.08,AO_2021_SF_Osaka_S.Williams
595,-1.02,Melbourne_2021_R3_BOULTER_OSAKA
576,-1.01,AO_2021_4th_Muguruza_Osaka
573,-0.99,AO_2021_1st_Pavlyuchenkova_Osaka
575,-0.92,AO_2021_3rd_Jabeur_Osaka
574,-0.87,AO_2021_2nd_Garcia_Osaka
