,movement_to_fh_avg_acc,match_id
575,0.84,AO_2021_3rd_Jabeur_Osaka
579,0.93,AO_2021_SF_Osaka_S.Williams
610,0.94,US_Open_2020_R2_OSAKA_GIORGI
574,0.97,AO_2021_2nd_Garcia_Osaka
578,1.11,AO_2021_QF_Hsieh_Osaka
573,1.16,AO_2021_1st_Pavlyuchenkova_Osaka
576,1.32,AO_2021_4th_Muguruza_Osaka
572,1.49,AO_2020_R3_Osaka_Gauff
587,1.52,Brisbane_2020_R1_Sakkari_Osaka
602,1.53,US_Open_2018_R1_OSAKA_SIEGEMUND
611,1.55,US_Open_2020_R3_OSAKA_KOSTYUK
595,1.63,Melbourne_2021_R3_BOULTER_OSAKA
585,1.68,Beijing_2019_SF_WOZNIACKI_OSAKA
590,1.7,Cincinnati_2020_QF_Osaka_Kontaveit
596,1.76,Osaka_2019_F_OSAKA_PAVLYUCHENKOVA
592,1.76,Cincinnati_2020_R3_OSAKA_YASTREMSKA
591,1.81,Cincinnati_2020_R2_OSAKA_MUCHOVA
588,1.82,Brisbane_2020_R2_Kenin_Osaka
570,1.85,AO_2020_R1_Osaka_Bouzkova
583,1.92,Beijing_2019_R2_PETKOVIC_OSAKA
571,1.93,AO_2020_R2_Osaka_Zheng
600,1.94,US_Open_2018_F_OSAKA_S.WILLIAMS
609,1.95,US_Open_2020_R1_OSAKA_DOI
604,1.97,US_Open_2018_R3_OSAKA_SASNOVICH
607,2.0,US_Open_2020_F_OSAKA_AZARENKA
589,2.02,Brisbane_2020_SF_Osaka_K.Pliskova
612,2.03,US_Open_2020_R4_OSAKA_KONTAVEIT
582,2.06,Beijing_2019_R1_OSAKA_PEGULA
613,2.07,US_Open_2020_SF_BRADY_OSAKA
598,2.08,Osaka_2019_R2_OSAKA_TOMOVA
601,2.08,US_Open_2018_QF_OSAKA_TSURENKO
586,2.09,Brisbane_2020_QF_Bertens_Osaka
599,2.11,Osaka_2019_SF_OSAKA_MERTENS
608,2.14,US_Open_2020_QF_OSAKA_ROGERS
605,2.15,US_Open_2018_R4_OSAKA_SABALENKA
584,2.15,Beijing_2019_R3_OSAKA_RISKE
597,2.16,Osaka_2019_QF_OSAKA_PUTINTSEVA
603,2.26,US_Open_2018_R2_OSAKA_GLUSHKO
606,2.27,US_Open_2018_SF_OSAKA_KEYS
580,2.29,Beijing_2019_F_OSAKA_BARTY
581,2.35,Beijing_2019_QF_OSAKA_ANDREESCU
593,2.35,Cincinnati_2020_SF_Osaka_Mertens
577,2.63,AO_2021_F_Brady_Osaka
594,3.02,Melbourne_2021_R2_CORNET_OSAKA
