Serve,Court Side,Position,Returns,Return In %,Return Win %,Win if In %
1st,Deuce,Up,19,78%,42%,53%
1st,Deuce,Middle,0,NO DATA,NO DATA,NO DATA
1st,Deuce,Back,0,NO DATA,NO DATA,NO DATA
1st,Ad,Up,22,77%,31%,41%
1st,Ad,Middle,0,NO DATA,NO DATA,NO DATA
1st,Ad,Back,0,NO DATA,NO DATA,NO DATA
2nd,Deuce,Up,18,88%,44%,50%
2nd,Deuce,Middle,0,NO DATA,NO DATA,NO DATA
2nd,Deuce,Back,0,NO DATA,NO DATA,NO DATA
2nd,Ad,Up,10,100%,80%,80%
2nd,Ad,Middle,0,NO DATA,NO DATA,NO DATA
2nd,Ad,Back,0,NO DATA,NO DATA,NO DATA
