Serve,Court Side,Position,Returns,Return In %,Return Win %,Win if In %
1st,Deuce,Up,15,80%,46%,58%
1st,Deuce,Middle,0,NO DATA,NO DATA,NO DATA
1st,Deuce,Back,0,NO DATA,NO DATA,NO DATA
1st,Ad,Up,16,81%,43%,53%
1st,Ad,Middle,0,NO DATA,NO DATA,NO DATA
1st,Ad,Back,0,NO DATA,NO DATA,NO DATA
2nd,Deuce,Up,9,100%,66%,66%
2nd,Deuce,Middle,0,NO DATA,NO DATA,NO DATA
2nd,Deuce,Back,0,NO DATA,NO DATA,NO DATA
2nd,Ad,Up,8,87%,50%,57%
2nd,Ad,Middle,0,NO DATA,NO DATA,NO DATA
2nd,Ad,Back,0,NO DATA,NO DATA,NO DATA
