Serve,Court Side,Position,Returns,Return In %,Return Win %,Win if In %
1st,Deuce,Up,35,77%,42%,55%
1st,Deuce,Middle,0,NO DATA,NO DATA,NO DATA
1st,Deuce,Back,0,NO DATA,NO DATA,NO DATA
1st,Ad,Up,31,96%,38%,40%
1st,Ad,Middle,0,NO DATA,NO DATA,NO DATA
1st,Ad,Back,0,NO DATA,NO DATA,NO DATA
2nd,Deuce,Up,11,100%,54%,54%
2nd,Deuce,Middle,0,NO DATA,NO DATA,NO DATA
2nd,Deuce,Back,0,NO DATA,NO DATA,NO DATA
2nd,Ad,Up,11,100%,18%,18%
2nd,Ad,Middle,0,NO DATA,NO DATA,NO DATA
2nd,Ad,Back,0,NO DATA,NO DATA,NO DATA
