Serve,Court Side,Position,Returns,Return In %,Return Win %,Win if In %
1st,Deuce,Up,0,NO DATA,NO DATA,NO DATA
1st,Deuce,Middle,0,NO DATA,NO DATA,NO DATA
1st,Deuce,Back,32,75%,40%,54%
1st,Ad,Up,0,NO DATA,NO DATA,NO DATA
1st,Ad,Middle,0,NO DATA,NO DATA,NO DATA
1st,Ad,Back,25,88%,56%,63%
2nd,Deuce,Up,0,NO DATA,NO DATA,NO DATA
2nd,Deuce,Middle,0,NO DATA,NO DATA,NO DATA
2nd,Deuce,Back,15,93%,33%,35%
2nd,Ad,Up,0,NO DATA,NO DATA,NO DATA
2nd,Ad,Middle,0,NO DATA,NO DATA,NO DATA
2nd,Ad,Back,20,85%,30%,35%
