Serve,Court Side,Position,Returns,Return In %,Return Win %,Win if In %
1st,Deuce,Up,29,82%,24%,29%
1st,Deuce,Middle,0,NO DATA,NO DATA,NO DATA
1st,Deuce,Back,0,NO DATA,NO DATA,NO DATA
1st,Ad,Up,23,47%,26%,54%
1st,Ad,Middle,0,NO DATA,NO DATA,NO DATA
1st,Ad,Back,0,NO DATA,NO DATA,NO DATA
2nd,Deuce,Up,18,72%,61%,84%
2nd,Deuce,Middle,0,NO DATA,NO DATA,NO DATA
2nd,Deuce,Back,0,NO DATA,NO DATA,NO DATA
2nd,Ad,Up,26,84%,65%,77%
2nd,Ad,Middle,0,NO DATA,NO DATA,NO DATA
2nd,Ad,Back,0,NO DATA,NO DATA,NO DATA
