Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,9.82,1.59,2.94,-3.65,191.46,121.63,119.69,107.66
7-12 game split,5.96,1.55,2.33,-3.16,187.75,113.66,112.05,112.05
13-18 game split,9.09,1.69,3.13,-3.43,178.32,116.17,113.99,108.69
19-24 game split,12.25,1.63,3.03,-3.75,187.85,121.62,117.32,106.01
25-30 game split,7.63,1.68,3.02,-3.45,186.98,121.78,123.62,105.37
31-36 game split,9.2,1.72,2.77,-3.57,194.78,113.99,110.64,100.75
37-42 game split,10.81,1.66,2.82,-3.6,186.77,118.51,114.49,108.88
43-48 game split,8.62,1.79,3.0,-3.57,191.17,115.98,110.54,109.01
49-54 game split,8.86,1.69,2.82,-3.89,194.96,121.54,114.3,100.83
55-57 game split,9.14,1.7,3.27,-3.92,195.37,119.05,104.07,101.92
