Game Description,Distance covered per point,Average movement speed,Average acceleration,Average deceleration,Serve Speed Avg,Forehand Speed Avg,Backhand Speed Avg (without slices),Backhand Speed Avg (with slices)
1-6 game split,7.49,2.23,4.07,-5.37,200.79,119.07,125.01,119.67
7-12 game split,12.84,2.36,4.38,-6.23,207.08,128.17,121.78,116.73
13-18 game split,13.97,1.9,3.35,-4.97,208.12,138.65,126.55,119.75
19-24 game split,8.54,2.13,3.64,-5.1,201.76,126.17,121.29,123.66
25-30 game split,8.53,1.98,4.1,-5.59,201.99,131.77,135.15,128.16
31-36 game split,12.82,2.07,4.48,-6.29,202.07,132.27,128.16,122.19
37-42 game split,12.29,2.06,3.55,-4.57,207.05,140.09,131.3,131.3
43-48 game split,13.49,1.96,3.9,-4.94,202.73,140.37,127.25,124.57
49-54 game split,10.8,2.53,4.53,-6.07,201.13,118.11,121.69,121.69
55-59 game split,11.38,2.08,4.26,-5.95,200.12,130.43,121.23,121.23
